store_id,last_one_hour uptime(in minutes),last_one_hour downtime(in minutes),last_one_day uptime(in hours),last_one_day downtime(in hours),last_one_week uptime(in hours),last_one_week downtime(in hours)
8419537941919820732,60,16.95,102.74,0,0.0,0.0
54515546588432327,60,8.35,51.03,0,0.0,0.0
8377465688456570187,60,12.44,39.02,0,0.0,0.0
5955337179846162144,60,9.44,39.88,0,0.0,0.0
1169347689335808384,60,9.93,34.37,0,0.0,0.0
3739729523266121270,60,18.92,101.12,0,0.0,0.0
4430370444829587327,0,2.61,18.19,0,0.0,0.0
1912555533282230523,60,4.82,15.45,0,0.0,0.0
5489547402882838709,60,16.93,45.63,0,0.0,0.0
759601765366096871,60,14.92,106.57,0,0.0,0.0
5627904252074297008,60,14.94,83.61,0,0.0,0.0
2651685499613063745,60,18.93,66.85,0,0.0,0.0
5043046815492880667,60,18.93,81.72,0,0.0,0.0
2367299134091594697,0,-11.9,-20.74,60,22.85,95.58
6613902849003357359,60,23.97,112.75,0,0.0,0.0
1396650693591399695,60,22.85,111.61,0,0.0,0.0
837699569013981799,0,19.96,93.6,60,0.0,22.87
2057963137235512954,60,17.98,108.69,0,0.0,0.0
6108568838704593560,60,13.95,87.48,0,0.0,0.0
7815590034868021689,0,1.07,-17.13,60,18.92,114.59
7493928216510270665,60,13.97,81.5,0,0.0,0.0
7961038966240415760,60,15.9,82.23,0,0.0,0.0
605803287923472894,60,13.91,42.69,0,0.0,0.0
5278384915350904550,60,5.88,18.58,0,0.0,0.0
8494749731668571682,60,0,3.23,0,0,0.0
4858828967449392712,60,8.88,33.47,0,0.0,0.0
7555752115160416405,60,8.37,32.33,0,0.0,0.0
8625022238145771938,60,12.84,69.34,0,0.0,0.0
4159147177864939740,60,8.91,34.43,0,0.0,0.0
8157355919956132858,60,12.82,41.51,0,0.0,0.0
3595154674145356045,0,0.87,11.21,0,0.0,0.0
5693932324957995427,60,21.88,89.15,0,0.0,0.0
8631502755712457479,60,11.85,63.42,0,0.0,0.0
7369215549436595643,60,11.85,64.11,0,0.0,0.0
5733393565264082443,60,11.88,49.4,0,0.0,0.0
4681743429609749121,60,9.48,41.01,0,0.0,0.0
2567728765809290933,0,2.88,18.16,0,0.0,0.0
284239040495575980,0,0.81,4.19,0,0.0,0.0
6656463669299127947,0,-6.01,-18.36,60,18.98,93.72
9184109988854973601,60,13.9,44.64,0,0.0,0.0
6031574077635056029,60,11.95,84.24,0,0.0,0.0
9111813718630350474,60,12.93,100.35,0,0.0,0.0
8750493480383302874,0,-7.14,14.01,60,20.92,96.73
3048405945625600463,60,11.76,67.55,0,0.0,0.0
3983786718839842887,60,14.92,87.77,0,0.0,0.0
5047154360023757128,60,15.97,85.8,0,0.0,0.0
7933946190613920010,60,13.4,65.58,0,0.0,0.0
379226339704530410,60,23.89,78.19,0,0.0,0.0
1253356761818562621,60,9.4,50.04,0,0.0,0.0
4755926456158904833,60,23.8,80.8,0,0.0,0.0
8803894796084290585,60,0,2.92,0,0,0.0
6836033035108373086,0,1.8,9.58,0,0.0,3.6
2639750514662973687,60,13.39,43.83,0,0.0,0.0
1040732551176103056,60,9.87,44.13,0,0.0,0.0
8304911926566338483,0,0.95,4.19,0,0.0,0.0
3361278033591045661,60,13.9,81.36,0,0.0,0.0
2601623541509400542,60,7.95,38.56,0,0.0,0.0
8207758013351082541,60,2.83,12.25,0,0.0,0.0
4249300502744464539,60,12.8,52.34,0,0.0,0.0
881974164067848799,60,8.89,27.26,0,0.0,0.0
4031771205466256346,0,0.59,10.75,0,0.0,0.0
8117247589549708019,60,13.91,41.63,0,0.0,0.0
5223121655148958959,0,0.35,1.56,0,0.0,0.0
5281145666427062582,0,1.68,13.39,0,0.0,0.0
7103249743888768279,0,8.42,23.93,60,0.0,0.0
6937872202603482963,60,10.68,30.32,0,0.0,0.0
4359897525988670130,60,11.81,40.26,0,0.0,0.0
8668949117244880140,60,10.37,54.16,0,0.0,0.0
329697652999698776,60,8.37,27.72,0,0.0,0.0
2873839205725435068,60,0,25.55,0,0,0.0
1634983772484395625,0,12.74,68.59,60,0.0,21.93
8754037299794781932,0,23.86,85.66,60,0.0,23.99
8478659457975884995,60,22.94,80.58,0,0.0,0.0
