store_id,last_one_hour uptime(in minutes),last_one_hour downtime(in minutes),last_one_day uptime(in hours),last_one_day downtime(in hours),last_one_week uptime(in hours),last_one_week downtime(in hours)
5101815920233266877,60,4.94,4.94,0,0.0,0.0
4363173458055484635,60,11.88,11.88,0,0.0,0.0
6654163885034420297,60,18.95,18.95,0,0.0,0.0
1396650693591399695,60,13.96,13.96,0,0.0,0.0
3811723403992671863,60,19.96,19.96,0,0.0,0.0
2343002123616261145,60,1.92,1.92,0,0.0,0.0
1919874817733050952,60,10.86,10.86,0,0.0,0.0
4120727348870299156,60,13.8,13.8,0,0.0,0.0
8586165988377528596,60,15.88,15.88,0,0.0,0.0
4688281890086374393,60,2.96,2.96,0,0.0,0.0
3814437533999030833,60,3.99,3.99,0,0.0,0.0
5014360692528129219,60,23.94,23.94,0,0.0,0.0
6627556682658863824,60,13.99,13.99,0,0.0,0.0
7054026621216095964,60,23.91,23.91,0,0.0,0.0
2856760573082275493,60,1.97,1.97,0,0.0,0.0
7829939588069662588,60,6.7,6.7,0,0.0,0.0
8426104375367836905,60,4.93,4.93,0,0.0,0.0
8042276160439219301,60,11.84,11.84,0,0.0,0.0
7301074743612607953,60,4.93,4.93,0,0.0,0.0
501557351127961254,60,7.98,7.98,0,0.0,0.0
2429826638627036652,60,16.84,16.84,0,0.0,0.0
6254326899789577138,60,22.92,22.92,0,0.0,0.0
4927957739278608509,60,17.96,17.96,0,0.0,0.0
4087734576384157479,60,4.99,4.99,0,0.0,0.0
2902464163495727341,60,22.91,22.91,0,0.0,0.0
67717500383842441,60,16.88,16.88,0,0.0,0.0
9180605269446109669,60,13.9,22.64,0,0.0,0.0
8575192552537607204,60,1.95,1.95,0,0.0,0.0
4565647203555971306,60,15.85,15.85,0,0.0,0.0
1512963809481624562,60,5.5,5.5,0,0.0,0.0
1237491910185675678,60,23.92,23.92,0,0.0,0.0
6101467474613551716,60,19.88,19.88,0,0.0,0.0
7942275477999027758,60,18.94,18.94,0,0.0,0.0
2406818359872471913,60,11.93,11.93,0,0.0,0.0
5654260221324432960,60,14.78,14.78,0,0.0,0.0
145837327256477189,60,19.76,19.76,0,0.0,0.0
3627697585993910104,60,16.88,35.66,0,0.0,0.0
3335936003001211540,60,0.95,0.95,0,0.0,0.0
3097334170388760845,60,5.94,5.94,0,0.0,0.0
5094144720037804964,60,22.98,22.98,0,0.0,0.0
8549121451544958621,60,9.97,9.97,0,0.0,0.0
892812251689642638,60,22.93,22.93,0,0.0,0.0
860810221363020539,60,16.81,16.81,0,0.0,0.0
6447334345695462104,60,2.92,2.92,0,0.0,0.0
8088407484428563722,60,15.99,25.96,0,0.0,0.0
445481777696638394,60,8.88,8.88,0,0.0,0.0
1829038066844761838,60,14.86,14.86,0,0.0,0.0
1057525043621726214,60,9.9,32.86,0,0.0,0.0
6472421132249756772,60,5.8,5.8,0,0.0,0.0
7669040490108017952,60,19.86,19.86,0,0.0,0.0
3581960394101724719,60,23.93,33.8,0,0.0,0.0
3485383537492459194,60,19.8,19.8,0,0.0,0.0
5650255503970509955,60,6.96,6.96,0,0.0,0.0
1005454408747305679,60,13.9,13.9,0,0.0,0.0
8808827081340815071,60,14.8,14.8,0,0.0,0.0
7282330070473962428,60,11.97,11.97,0,0.0,0.0
3072131744791388254,60,23.93,23.93,0,0.0,0.0
8516066165731166811,60,19.85,19.85,0,0.0,0.0
2567728765809290933,60,19.97,19.97,0,0.0,0.0
1762118160451132048,60,22.82,22.82,0,0.0,0.0
1214879170516829229,60,21.95,21.95,0,0.0,0.0
4810725538426481229,60,3.99,3.99,0,0.0,0.0
4880977789944408509,60,8.95,8.95,0,0.0,0.0
2341975151855811674,60,11.88,11.88,0,0.0,0.0
1169347689335808384,60,20.86,20.86,0,0.0,0.0
1710361405993519136,60,0.54,0.54,0,0.0,0.0
7536503276896413286,60,22.91,22.91,0,0.0,0.0
7228144646776553218,60,19.95,19.95,0,0.0,0.0
6505152856942740022,60,8.95,8.95,0,0.0,0.0
6425044764437802241,60,21.7,21.7,0,0.0,0.0
5681286742850355378,60,5.57,5.57,0,0.0,0.0
4909699599609504534,60,14.81,14.81,0,0.0,0.0
7054107577350095832,60,19.99,19.99,0,0.0,0.0
807795446744791539,60,8.95,8.95,0,0.0,0.0
7538095597952574524,60,19.93,19.93,0,0.0,0.0
4612886666712811009,60,11.86,11.86,0,0.0,0.0
2996368959037923145,60,14.91,14.91,0,0.0,0.0
7433398711719243797,60,20.91,20.91,0,0.0,0.0
3595695187666732104,60,11.96,11.96,0,0.0,0.0
5449809553492927759,60,18.83,18.83,0,0.0,0.0
7473650391330331551,60,0.82,0.82,0,0.0,0.0
3613772754770267286,60,18.98,26.98,0,0.0,0.0
7761092740302803362,60,10.93,10.93,0,0.0,0.0
7580692600123664796,60,16.95,16.95,0,0.0,0.0
1557691556894768738,60,12.93,12.93,0,0.0,0.0
8008203353008736898,60,2.99,2.99,0,0.0,0.0
7361482816753954415,60,6.85,6.85,0,0.0,0.0
3746977410893363659,60,22.97,36.95,0,0.0,0.0
4245142334790537370,60,17.83,17.83,0,0.0,0.0
6525516858644017464,60,14.85,14.85,0,0.0,0.0
6689038248833401652,60,22.92,22.92,0,0.0,0.0
5723059602183693938,60,5.9,5.9,0,0.0,0.0
8450230568847192152,60,4.92,4.92,0,0.0,0.0
8054766691200204910,60,12.99,12.99,0,0.0,0.0
1544358724428482157,60,8.97,8.97,0,0.0,0.0
4828866459850659064,60,10.33,10.33,0,0.0,0.0
4537118630493879732,60,15.86,15.86,0,0.0,0.0
625693576506770342,60,14.97,14.97,0,0.0,0.0
219695402222975151,60,20.98,20.98,0,0.0,0.0
4605930245483207319,60,14.79,14.79,0,0.0,0.0
6277756053786415931,60,15.99,15.99,0,0.0,0.0
1261100259311551870,60,11.95,11.95,0,0.0,0.0
7555752115160416405,60,23.0,23.0,0,0.0,0.0
4380282358594570635,60,23.97,23.97,0,0.0,0.0
1646426415143970619,60,2.96,2.96,0,0.0,0.0
8078387914319521447,60,22.96,22.96,0,0.0,0.0
6550872265195825149,60,7.98,7.98,0,0.0,0.0
8592041492120976517,60,8.86,8.86,0,0.0,0.0
3648537204824103115,60,4.95,4.95,0,0.0,0.0
6245188236554378094,60,7.97,23.74,0,0.0,0.0
3048405945625600463,60,12.76,36.75,0,0.0,0.0
1886094822273762805,60,18.92,18.92,0,0.0,0.0
8596918145690086619,60,10.8,10.8,0,0.0,0.0
8368770618718254725,60,20.91,20.91,0,0.0,0.0
7490086744242095178,60,22.98,22.98,0,0.0,0.0
7614940600032932204,60,21.98,21.98,0,0.0,0.0
8549361458818026633,60,12.86,12.86,0,0.0,0.0
2670800031826856367,60,17.9,34.44,0,0.0,0.0
6613902849003357359,60,13.96,13.96,0,0.0,0.0
162706314408379319,60,12.91,12.91,0,0.0,0.0
4045915898999171400,60,2.95,2.95,0,0.0,0.0
2249493758548607842,60,1.89,1.89,0,0.0,0.0
3274870690774289261,60,7.92,7.92,0,0.0,0.0
5845177935665108638,60,20.81,20.81,0,0.0,0.0
1039561743854937175,60,18.94,18.94,0,0.0,0.0
8649146370484144834,60,22.92,22.92,0,0.0,0.0
6768421287930768369,60,8.86,8.86,0,0.0,0.0
76703009444581800,60,12.82,12.82,0,0.0,0.0
3466789754048015806,60,18.89,18.89,0,0.0,0.0
436563274646675694,60,20.82,20.82,0,0.0,0.0
3179301914948517223,60,11.81,11.81,0,0.0,0.0
7409811026710436853,60,19.93,19.93,0,0.0,0.0
5869381323010290454,60,22.85,22.85,0,0.0,0.0
242711181652148953,60,23.88,23.88,0,0.0,0.0
8923756805861578276,60,9.91,9.91,0,0.0,0.0
1172776965412058288,60,6.98,6.98,0,0.0,0.0
6893698645586753370,60,5.92,5.92,0,0.0,0.0
3770336430042470748,60,16.85,16.85,0,0.0,0.0
4670600325857127004,60,15.8,15.8,0,0.0,0.0
8088339101039039426,60,22.84,22.84,0,0.0,0.0
8096291521279945299,60,2.98,2.98,0,0.0,0.0
5038987348045204944,60,19.8,35.72,0,0.0,0.0
5895262759392115974,60,14.88,14.88,0,0.0,0.0
4539187922868363045,60,17.86,17.86,0,0.0,0.0
3357928618176504050,60,13.98,13.98,0,0.0,0.0
692381542361937128,60,7.92,7.92,0,0.0,0.0
5247681795808998187,60,16.82,16.82,0,0.0,0.0
8366349577194256830,60,0.85,0.85,0,0.0,0.0
8529403246085691548,60,11.93,11.93,0,0.0,0.0
8737989936592096254,60,22.94,22.94,0,0.0,0.0
333363422900954809,60,4.84,4.84,0,0.0,0.0
