store_id,last_one_hour uptime(in minutes),last_one_hour downtime(in minutes),last_one_day uptime(in hours),last_one_day downtime(in hours),last_one_week uptime(in hours),last_one_week downtime(in hours)
8419537941919820732,60,23.94,142.94,0,0.0,0.0
54515546588432327,60,10.3,59.67,0,0.0,0.0
8377465688456570187,60,12.44,61.85,0,0.0,0.0
5955337179846162144,60,9.44,46.87,0,0.0,0.0
1169347689335808384,60,9.93,48.32,0,0.0,0.0
3739729523266121270,60,23.94,142.29,0,0.0,0.0
4430370444829587327,0,4.65,28.01,0,0.0,0.0
1912555533282230523,60,4.95,24.78,0,0.0,0.0
5489547402882838709,60,16.93,52.55,0,0.0,0.0
759601765366096871,60,23.97,143.58,0,0.0,0.0
5627904252074297008,60,17.95,106.69,0,0.0,0.0
2651685499613063745,60,23.99,143.74,0,0.0,0.0
5043046815492880667,60,23.97,142.42,0,0.0,0.0
2367299134091594697,0,13.91,76.37,60,10.06,66.14
6613902849003357359,60,23.97,141.88,0,0.0,0.0
1396650693591399695,60,23.98,142.45,0,0.0,0.0
837699569013981799,0,23.97,118.51,60,0.0,23.97
2057963137235512954,60,23.99,142.69,0,0.0,0.0
6108568838704593560,60,23.95,142.46,0,0.0,0.0
7815590034868021689,0,23.04,135.9,60,0.94,7.02
7493928216510270665,60,23.98,142.73,0,0.0,0.0
7961038966240415760,60,16.92,100.15,0,0.0,0.0
605803287923472894,60,13.91,70.69,0,0.0,0.0
5278384915350904550,60,6.84,33.29,0,0.0,0.0
8494749731668571682,60,0,22.05,0,0,0.0
4858828967449392712,60,9.85,49.37,0,0.0,0.0
7555752115160416405,60,9.33,39.36,0,0.0,0.0
8625022238145771938,60,17.91,106.28,0,0.0,0.0
4159147177864939740,60,8.91,39.35,0,0.0,0.0
8157355919956132858,60,12.89,64.76,0,0.0,0.0
3595154674145356045,0,3.82,21.52,0,0.0,0.0
5693932324957995427,60,23.89,143.54,0,0.0,0.0
8631502755712457479,60,12.9,71.23,0,0.0,0.0
7369215549436595643,60,11.85,69.12,0,0.0,0.0
5733393565264082443,60,11.88,61.38,0,0.0,0.0
4681743429609749121,60,10.41,53.96,0,0.0,0.0
2567728765809290933,0,3.91,23.97,0,0.0,0.0
284239040495575980,0,0.81,4.19,0,0.0,0.0
6656463669299127947,0,22.86,137.53,60,1.05,5.07
9184109988854973601,60,13.93,70.83,0,0.0,0.0
6031574077635056029,60,23.98,142.36,0,0.0,0.0
9111813718630350474,60,23.85,143.41,0,0.0,0.0
8750493480383302874,0,19.93,107.4,60,4.05,37.52
3048405945625600463,60,23.97,142.47,0,0.0,0.0
3983786718839842887,60,23.94,142.95,0,0.0,0.0
5047154360023757128,60,23.97,142.73,0,0.0,0.0
7933946190613920010,60,14.36,73.3,0,0.0,0.0
379226339704530410,60,23.89,141.92,0,0.0,0.0
1253356761818562621,60,11.3,58.92,0,0.0,0.0
4755926456158904833,60,23.86,142.24,0,0.0,0.0
8803894796084290585,60,0,3.84,0,0,0.0
6836033035108373086,0,2.9,11.7,0,0.0,5.56
2639750514662973687,60,14.42,71.89,0,0.0,0.0
1040732551176103056,60,11.87,58.36,0,0.0,0.0
8304911926566338483,0,0.95,4.19,0,0.0,0.0
3361278033591045661,60,23.89,143.2,0,0.0,0.0
2601623541509400542,60,8.86,44.21,0,0.0,0.0
8207758013351082541,60,3.95,17.28,0,0.0,0.0
4249300502744464539,60,23.99,142.36,0,0.0,0.0
881974164067848799,60,8.89,35.44,0,0.0,0.0
4031771205466256346,0,4.65,27.57,0,0.0,0.0
8117247589549708019,60,13.91,70.61,0,0.0,0.0
5223121655148958959,0,0.35,1.56,0,0.0,0.0
5281145666427062582,0,2.67,19.4,0,0.0,0.0
7103249743888768279,0,9.4,35.55,60,0.0,0.0
6937872202603482963,60,11.58,60.29,0,0.0,0.0
4359897525988670130,60,11.81,58.32,0,0.0,0.0
8668949117244880140,60,13.45,76.19,0,0.0,0.0
329697652999698776,60,10.36,52.15,0,0.0,0.0
2873839205725435068,60,0,36.44,0,0,0.0
1634983772484395625,0,23.85,140.59,60,0.0,2.0
8754037299794781932,0,23.86,142.83,60,0.0,1.0
8478659457975884995,60,23.98,142.47,0,0.0,0.0
3173528025538718452,60,23.99,142.45,0,0.0,0.0
1172776965412058288,60,23.85,143.65,0,0.0,0.0
8050904836920798206,0,0.0,54.37,60,23.97,89.5
3485383537492459194,60,0,5.84,0,0,0.0
7791569942019889767,60,23.84,141.9,0,0.0,0.0
7647796266115725856,60,10.29,51.69,0,0.0,0.0
7372385631979013974,60,23.95,142.09,0,0.0,0.0
1886094822273762805,0,2.42,17.96,0,0.0,0.0
1921227243936268124,60,9.4,47.09,0,0.0,0.0
2670800031826856367,0,3.18,19.1,0,0.0,0.0
2529970021684233025,60,23.95,142.39,0,0.0,0.0
3390153829311738919,60,4.47,29.81,0,0.0,0.0
2723172216807087715,60,23.95,142.45,0,0.0,0.0
3457174951287490032,60,23.96,142.36,0,0.0,0.0
1557691556894768738,60,23.97,143.81,0,0.0,0.0
4395688375231610603,60,23.95,142.35,0,0.0,0.0
3480535111316179789,0,0.0,2.96,60,6.89,30.73
8080175208160124283,0,11.87,59.09,60,0.0,0.0
4894791864539115200,60,15.99,94.67,0,0.0,0.0
6529727365761998945,60,23.96,142.38,0,0.0,0.0
2937297056410899541,60,23.95,142.05,0,0.0,0.0
7257064183173214729,60,17.92,106.49,0,0.0,0.0
3151529852031249810,60,15.45,92.69,0,0.0,0.0
8258804424046746943,60,10.67,53.08,0,0.0,0.0
6614523831540505463,60,10.86,54.48,0,0.0,0.0
1826435698432426239,60,23.94,142.65,0,0.0,0.0
4333246355539626670,60,23.94,142.66,0,0.0,0.0
4644728874609587438,60,23.96,142.49,0,0.0,0.0
646862635677872649,0,0.98,2.52,0,0.0,2.04
3762462515785465924,60,23.96,142.51,0,0.0,0.0
7150774588280614833,0,21.96,135.7,60,2.03,8.08
8345736932152836262,60,23.99,143.77,0,0.0,0.0
6807898943856172607,0,23.96,49.03,60,0.0,95.89
1666841521765803410,60,23.99,142.39,0,0.0,0.0
333363422900954809,60,0,18.22,0,0,0.0
8957614279107724771,60,7.87,39.7,0,0.0,0.0
5945586020471081479,60,0,28.68,0,0,0.0
6472421132249756772,60,23.85,141.92,0,0.0,0.0
7761606104561337031,60,10.69,53.16,0,0.0,0.0
838975604215828311,60,23.95,134.89,0,0.0,0.0
3266261351669573692,60,13.93,70.75,0,0.0,0.0
2795813457317920490,0,0.0,0.96,0,1.98,12.58
4605930245483207319,60,23.91,142.28,0,0.0,0.0
2962311335535390960,0,0,0,0,0,0
7268756666846583478,0,13.96,42.78,60,0.0,27.36
1630572092685790853,60,11.43,58.99,0,0.0,0.0
8937336970477990571,60,9.92,49.43,0,0.0,0.0
5573042382995353167,60,0,16.91,0,0,0.0
2919034318358144116,0,1.97,9.91,0,0.0,0.0
1069175913867471706,60,12.89,56.96,0,0.0,0.0
875843728245815497,60,23.99,142.51,0,0.0,0.0
674181715362434303,60,23.99,142.46,0,0.0,0.0
6919205629015311844,60,23.85,143.67,0,0.0,0.0
5833524886918537002,60,23.98,143.78,0,0.0,0.0
895776572353408414,60,23.91,142.88,0,0.0,0.0
3128372722755492220,0,23.98,141.45,60,0.0,1.02
7623827925406279462,0,11.75,120.35,60,12.22,22.09
7380452304013001940,0,23.95,140.34,60,0.0,2.04
4735020268815610999,60,23.96,143.84,0,0.0,0.0
4379354991255025015,0,0.28,1.2,0,0.0,0.0
586828640680309708,60,16.9,100.38,0,0.0,0.0
4411708924362315807,60,11.96,61.52,0,0.0,0.0
3602624699088147408,60,16.88,84.29,0,0.0,0.0
808823578625004293,60,23.93,141.47,0,0.0,0.0
4537118630493879732,0,0.96,4.48,0,0.0,0.0
6768421287930768369,60,10.57,55.24,0,0.0,0.0
5204205417198497707,60,15.44,92.35,0,0.0,0.0
6218610446218045507,60,0,35.74,0,0,0.0
4038122761946492291,60,9.54,48.01,0,0.0,0.0
4521472232575735964,60,10.93,54.3,0,0.0,0.0
6164497053337196872,60,13.81,70.54,0,0.0,0.0
2746426715779371861,60,10.79,59.21,0,0.0,0.0
3592833730880444385,60,15.32,88.9,0,0.0,0.0
6084129894248182147,60,23.94,141.76,0,0.0,0.0
2968757472314064027,60,9.9,57.44,0,0.0,0.0
6864988578947949086,60,17.95,106.17,0,0.0,0.0
2341975151855811674,60,10.45,51.99,0,0.0,0.0
1545419770545519833,60,9.3,45.82,0,0.0,0.0
