store_id,last_one_hour uptime(in minutes),last_one_hour downtime(in minutes),last_one_day uptime(in hours),last_one_day downtime(in hours),last_one_week uptime(in hours),last_one_week downtime(in hours)
3682266459624248038,0,0,0.0,60,0,25.28
1053878807136352286,60,10.84,43.28,0,0.0,0.0
9067614979193276317,0,1.95,10.16,0,0.0,0.0
1062490453651181568,0,0,0,0,0,0
8387507186131968018,60,0,18.18,0,0,0.0
1043917341584031554,60,23.91,142.23,0,0.0,0.0
645393572534865703,0,3.95,34.66,60,0.0,0.0
6458867174353751073,0,11.82,53.81,60,0.0,3.59
3693103189966281642,60,12.85,53.58,0,0.0,0.0
2126569572325536294,0,2.48,13.66,0,0.0,0.0
6460502612936263840,60,17.83,106.54,0,0.0,0.0
7302891113438076857,0,0.0,29.54,60,8.93,14.89
4623585857923217075,60,23.98,142.51,0,0.0,0.0
81559780630790716,0,0,4.93,60,0,20.29
1644437974845280499,60,9.98,48.92,0,0.0,0.0
3440150023152763801,60,13.94,75.98,0,0.0,0.0
6543400498540926621,60,23.95,142.15,0,0.0,0.0
5577930270241338122,0,0.0,0.0,60,8.57,41.84
4917202297383237926,60,23.85,142.69,0,0.0,0.0
1256750548669896497,0,1.99,9.67,0,0.0,0.0
1567644158030942526,0,23.97,87.77,60,0.0,55.93
7641174548841299939,0,0.0,0.0,60,10.87,54.21
2794668734436382699,60,8.31,50.42,0,0.0,0.0
3101208848771000364,60,23.84,142.76,0,0.0,0.0
1744483568407217219,60,23.96,142.44,0,0.0,0.0
9190242697788825452,0,1.0,56.94,60,10.79,11.78
6466727117994546385,0,0.0,0.0,0,1.99,9.59
1215441179124658495,0,0.0,0.0,60,23.97,144.82
5055487362256257843,0,0.0,0.0,60,6.31,33.92
7682276697744096251,0,0,0,0,0,0
4412140846634503613,60,11.49,58.95,0,0.0,0.0
7481642173604987217,60,11.77,67.4,0,0.0,0.0
4609967034899071339,0,0,4.91,60,0,11.74
2429898146291919515,0,0,0.0,60,0,5.74
4818881667648740342,0,0.0,30.86,0,6.98,6.98
6039251997495321688,0,0.0,0.0,60,11.9,59.44
3705544321541308930,0,0.0,0.0,0,3.41,18.57
8290301463563317096,0,0.0,7.31,60,8.97,37.53
7798028310942370954,0,23.91,138.64,60,0.0,4.01
1919874817733050952,60,10.09,52.62,0,0.0,0.0
849182365049976050,60,23.95,141.23,0,0.0,1.14
7131208717092755489,0,0.0,0.0,60,12.87,53.36
534234318414780023,60,10.64,21.38,0,0.0,0.0
114551850046024710,0,0,9.8,60,0,18.12
5039179544702024838,0,1.94,8.84,0,0.0,0.0
8721479636582743525,60,12.94,68.13,0,0.0,0.0
4688281890086374393,60,23.98,142.43,0,0.0,0.0
750710463527280225,60,23.85,141.94,0,0.0,0.0
6627556682658863824,60,23.96,141.84,0,0.0,0.0
2133047399921821475,0,0.0,0.0,60,23.97,142.5
6844516224196073488,0,22.93,134.06,60,1.01,8.13
5037819767382926638,0,0.0,0.0,0,3.8,21.43
8626291202096615487,60,16.92,72.97,0,0.0,0.0
2067164734746716745,60,18.89,86.1,0,0.0,0.0
7301074743612607953,60,17.8,106.18,0,0.0,0.0
6474758764658020840,0,0,0.0,60,0,19.35
2109554170755296570,0,0.0,10.84,60,11.85,50.46
8474440560922160344,0,0.0,0.0,60,23.91,142.62
4087734576384157479,0,23.95,141.46,60,0.0,0.98
5030599329267502189,60,23.95,143.33,0,0.0,0.0
1476406671101886529,60,12.81,64.23,0,0.0,0.0
8575192552537607204,0,23.92,139.23,60,0.0,3.01
1386297169641293210,60,17.89,99.19,0,0.0,0.0
2512052860970723380,0,23.94,142.18,60,0.0,0.0
6429365705650237794,60,15.83,91.4,0,0.0,0.0
7331996132438619032,0,0,0.0,60,0,30.35
3335936003001211540,60,23.91,143.5,0,0.0,0.0
586539305786722500,0,0.0,0.0,60,23.85,142.69
8683595242752311353,0,9.35,38.07,60,0.0,2.42
5043379127099209914,60,10.79,54.13,0,0.0,0.0
8008439339819626939,60,0,43.09,0,0,0.0
3536129012857858425,60,23.85,142.17,0,0.0,0.0
5544430340256041861,0,12.77,62.69,60,11.21,79.78
6494102341019174792,60,11.84,61.4,0,0.0,0.0
5426011922219537783,0,0.0,0.0,60,23.97,142.96
5545069305193537583,0,13.97,83.2,60,0.0,0.0
5767579036605507392,0,0.0,17.89,60,12.83,57.32
