store_id,last_one_hour uptime(in minutes),last_one_hour downtime(in minutes),last_one_day uptime(in hours),last_one_day downtime(in hours),last_one_week uptime(in hours),last_one_week downtime(in hours)
8419537941919820732,60,16.95,102.74,0,0.0,0.0
54515546588432327,60,8.35,51.03,0,0.0,0.0
8377465688456570187,60,12.44,39.02,0,0.0,0.0
5955337179846162144,60,9.44,39.88,0,0.0,0.0
1169347689335808384,60,9.93,34.37,0,0.0,0.0
3739729523266121270,60,18.92,101.12,0,0.0,0.0
4430370444829587327,60,2.61,18.19,0,0.0,0.0
1912555533282230523,60,4.82,15.45,0,0.0,0.0
5489547402882838709,60,16.93,45.63,0,0.0,0.0
759601765366096871,60,14.92,106.57,0,0.0,0.0
5627904252074297008,60,14.94,83.61,0,0.0,0.0
