store_id,last_one_hour uptime(in minutes),last_one_hour downtime(in minutes),last_one_day uptime(in hours),last_one_day downtime(in hours),last_one_week uptime(in hours),last_one_week downtime(in hours)
8419537941919820732,60,17.84,17.84,0,0.0,0.0
54515546588432327,60,0,0,0,0,0
8377465688456570187,60,0,0,0,0,0
5955337179846162144,60,0,0,0,0,0
1169347689335808384,60,0,0,0,0,0
3739729523266121270,60,19.86,19.86,0,0.0,0.0
4430370444829587327,0,3.59,3.59,0,0.0,0.0
1912555533282230523,60,0,0,0,0,0
5489547402882838709,60,0,0,0,0,0
759601765366096871,60,23.88,23.88,0,0.0,0.0
5627904252074297008,60,14.97,14.97,0,0.0,0.0
2651685499613063745,60,18.93,18.93,0,0.0,0.0
5043046815492880667,60,12.99,12.99,0,0.0,0.0
2367299134091594697,60,12.97,12.97,0,0.0,0.0
6613902849003357359,60,12.96,12.96,0,0.0,0.0
1396650693591399695,60,12.96,12.96,0,0.0,0.0
837699569013981799,60,11.93,11.93,0,0.0,0.0
2057963137235512954,60,12.74,12.74,0,0.0,0.0
6108568838704593560,60,11.74,11.74,0,0.0,0.0
7815590034868021689,60,12.74,12.74,0,0.0,0.0
7493928216510270665,60,12.74,12.74,0,0.0,0.0
7961038966240415760,60,0,0,0,0,0
605803287923472894,60,2.03,2.03,0,0.0,0.0
5278384915350904550,60,0,0,0,0,0
8494749731668571682,60,0,0,0,0,0
4858828967449392712,60,0,0,0,0,0
7555752115160416405,60,0,0,0,0,0
8625022238145771938,60,0,0,0,0,0
4159147177864939740,60,0,0,0,0,0
8157355919956132858,60,0,0,0,0,0
3595154674145356045,0,0.86,0.86,0,0.0,0.0
5693932324957995427,60,21.84,21.84,0,0.0,0.0
8631502755712457479,60,0,0,0,0,0
7369215549436595643,60,0,0,0,0,0
5733393565264082443,60,0,0,0,0,0
4681743429609749121,60,0,0,0,0,0
2567728765809290933,0,0,0,0,0,0
284239040495575980,0,0,0,0,0,0
6656463669299127947,60,12.97,12.97,0,0.0,0.0
9184109988854973601,60,0,0,0,0,0
6031574077635056029,60,11.95,11.95,0,0.0,0.0
9111813718630350474,60,12.93,12.93,0,0.0,0.0
8750493480383302874,60,13.78,13.78,0,0.0,0.0
3048405945625600463,60,11.76,11.76,0,0.0,0.0
3983786718839842887,60,16.97,16.97,0,0.0,0.0
5047154360023757128,60,16.96,16.96,0,0.0,0.0
7933946190613920010,60,13.45,13.45,0,0.0,0.0
379226339704530410,60,11.94,11.94,0,0.0,0.0
1253356761818562621,60,10.44,10.44,0,0.0,0.0
4755926456158904833,60,15.92,15.92,0,0.0,0.0
8803894796084290585,60,0,0,0,0,0
6836033035108373086,0,1.8,1.8,0,0.0,0.0
2639750514662973687,60,0,0,0,0,0
1040732551176103056,60,0,0,0,0,0
8304911926566338483,0,0,0,0,0,0
3361278033591045661,60,10.92,10.92,0,0.0,0.0
2601623541509400542,60,6.92,6.92,0,0.0,0.0
8207758013351082541,60,1.86,1.86,0,0.0,0.0
4249300502744464539,60,5.94,5.94,0,0.0,0.0
881974164067848799,60,0,0,0,0,0
4031771205466256346,0,0,0,0,0,0
8117247589549708019,60,0,0,0,0,0
5223121655148958959,0,0,0,0,0,0
5281145666427062582,60,6.92,6.92,0,0.0,0.0
7103249743888768279,60,3.41,3.41,0,0.0,0.0
6937872202603482963,60,5.66,5.66,0,0.0,0.0
4359897525988670130,60,7.91,7.91,0,0.0,0.0
8668949117244880140,60,3.4,3.4,0,0.0,0.0
329697652999698776,60,3.39,3.39,0,0.0,0.0
2873839205725435068,60,3.88,3.88,0,0.0,0.0
1634983772484395625,60,9.82,9.82,0,0.0,0.0
8754037299794781932,60,6.99,6.99,0,0.0,0.0
8478659457975884995,60,5.98,5.98,0,0.0,0.0
3173528025538718452,60,5.98,5.98,0,0.0,0.0
1172776965412058288,60,6.98,6.98,0,0.0,0.0
8050904836920798206,60,8.98,8.98,0,0.0,0.0
3485383537492459194,60,0,0,0,0,0
7791569942019889767,60,17.95,17.95,0,0.0,0.0
7647796266115725856,60,0,0,0,0,0
7372385631979013974,60,17.94,17.94,0,0.0,0.0
1886094822273762805,0,0,0,0,0,0
1921227243936268124,60,0,0,0,0,0
2670800031826856367,0,0,0,0,0,0
2529970021684233025,60,11.99,11.99,0,0.0,0.0
3390153829311738919,60,5.99,5.99,0,0.0,0.0
2723172216807087715,60,11.99,11.99,0,0.0,0.0
3457174951287490032,60,11.95,11.95,0,0.0,0.0
1557691556894768738,60,14.93,14.93,0,0.0,0.0
4395688375231610603,60,15.87,15.87,0,0.0,0.0
3480535111316179789,60,0,0,0,0,0
8080175208160124283,60,0,0,0,0,0
4894791864539115200,60,12.99,12.99,0,0.0,0.0
6529727365761998945,60,14.92,14.92,0,0.0,0.0
2937297056410899541,60,14.88,14.88,0,0.0,0.0
7257064183173214729,60,0,0,0,0,0
3151529852031249810,60,0,0,0,0,0
8258804424046746943,60,0,0,0,0,0
6614523831540505463,60,0,0,0,0,0
1826435698432426239,60,15.92,15.92,0,0.0,0.0
4333246355539626670,60,15.92,15.92,0,0.0,0.0
4644728874609587438,60,13.96,13.96,0,0.0,0.0
